x,y,t
24.8649397,61.1045526,5925.0
24.8649397,61.1045526,5925.25
24.8649397,61.1045526,5925.5
24.8649397,61.1045526,5925.75
24.8649397,61.1045526,5926.0
24.8649397,61.1045526,5926.25
24.8649397,61.1045526,5926.5
24.8649397,61.1045526,5926.75
24.8649397,61.1045526,5927.0
24.8649397,61.1045526,5927.25
24.8649397,61.1045526,5927.5
24.8649397,61.1045526,5927.75
24.8649397,61.1045526,5928.0
24.8649397,61.1045526,5928.25
24.8649397,61.1045526,5928.5
24.8649397,61.1045526,5928.75
24.8649397,61.1045526,5929.0
24.8649397,61.1045526,5929.25
24.8649397,61.1045526,5929.5
24.8649397,61.1045526,5929.75
24.8649397,61.1045526,5930.0
24.8649397,61.1045526,5930.25
24.8616389719343,61.105278242923845,5930.5
24.857210445907015,61.10625182466424,5930.75
24.852781919879728,61.10722540640464,5931.0
24.84835339385244,61.108198988145034,5931.25
24.843924867825155,61.10917256988543,5931.5
24.839496341797865,61.11014615162583,5931.75
24.83506781577058,61.11111973336622,5932.0
24.830639289743292,61.11209331510662,5932.25
24.826210763716006,61.113066896847016,5932.5
24.82178223768872,61.11404047858741,5932.75
24.817353711661433,61.11501406032781,5933.0
24.812925185634146,61.115987642068205,5933.25
24.808496659606856,61.116961223808595,5933.5
24.80406813357957,61.11793480554899,5933.75
24.799639607552283,61.11890838728939,5934.0
24.795211081524997,61.119881969029784,5934.25
24.79078255549771,61.12085555077018,5934.5
24.786354029470424,61.12182913251058,5934.75
24.781925503443137,61.12280271425097,5935.0
24.777496977415847,61.12377629599137,5935.25
24.77306845138856,61.124749877731766,5935.5
24.768639925361274,61.12572345947216,5935.75
24.764211399333988,61.12669704121256,5936.0
24.7597828733067,61.127670622952955,5936.25
24.755354347279415,61.12864420469335,5936.5
24.750925821252128,61.12961778643375,5936.75
24.746497295224838,61.130591368174144,5937.0
24.74206876919755,61.13156494991454,5937.25
24.737640243170265,61.13253853165494,5937.5
